url,name,date_start,date_end,registration_deadline,address,city_state,zip,spots_open,capacity,registration_cost,flight_cost,flight_link,IS_CAR_RENTAL_NEEDED,notes,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-23-4566.html#general-info,Texas VEXU,23-Feb-2024,24-Feb-2024,14-Feb-2024,Learner Support Center CCISD 2903 Falcon Pass,Houston Texas,77062,50%+,18,$150.00,-1,,True,,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-23-4090.html#general-info,Purdue SIGBots Slam and Jam VexU Qualifier; West Lafayette, IN,24-Feb-2024,24-Feb-2024,12-Feb-2024,Purdue University - Armory 812 3rd Street,West Lafayette Indiana,47907,10,30,$100.00,-1,,True,,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-23-1837.html#general-info,Seagull Showdown VEXU,24-Feb-2024,24-Feb-2024,23-Feb-2024,Salisbury University 1101 Camden Avenue,Salisbury Maryland,21801,50%+,16,$65.00,-1,,True,,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-23-4653.html#general-info,Gear Slingers Open Invitational 2024,2-Mar-2024,2-Mar-2024,29-Feb-2024,1 Grand Ave 1 Grand Avenue,San Luis Obispo California,93407,50%+,16,$25.00,-1,,True,,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-23-3103.html#general-info,SCTCC VEX U Regional Qualifying Tournament in Minnesota,2-Mar-2024,2-Mar-2024,26-Feb-2024,St. Cloud River’s Edge Convention Center 10 4th Avenue South,Saint Cloud Minnesota,56301,50%+,24,$255.00,-1,,True,,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-24-4601.html#general-info,VEX U: Walkin' in Memphis,9-Mar-2024,9-Mar-2024,23-Feb-2024,Memphis Convention Center 264 North Front Street,Memphis Tennessee,38103,-,12,$150.00,-1,,True,,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-23-4330.html#general-info,FUN IN THE SUN VEXU WORLD QUALIFIER TOURNAMENT,9-Mar-2024,9-Mar-2024,8-Mar-2024,university Mall 2200 East Fowler Avenue,Tampa Florida,33612,7,16,$75.00,-1,,True,,
https://www.robotevents.com/robot-competitions/college-competition/RE-VEXU-23-3508.html#general-info,Mid-Atlantic VEXU Over/Under Tournament,9-Mar-2024,9-Mar-2024,1-Mar-2024,University of Delaware Pearson Hall Makerspace 125 Academy Street,Newark Delaware,19716,50%+,8,,-1,,True,,
